Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Eritrea																																7.237999916	7.229000092	7.423999786	7.474999905	7.573999882	7.489999771	7.609000206	7.627999783	7.586999893	7.589000225	7.525000095	7.684999943	7.59499979	7.492000103	7.493000031	7.433000088	7.421000004	7.308000088	7.359000206	7.295000076	7.30700016	7.229000092	7.131000042	7.104000092	7.06799984	6.949999809	6.850999832	6.764999866
Spain																																23.25900078	25.25099945	28.75799942	31.61400032	30.55400085	29.54899979	28.0170002	26.63999939	22.86100006	20.375	15.06200027	16.06900024	15.69799995	15.04599953	12	11.34700012	10.70199966	12.8409996	18.13599968	20.22200012	21.81500053	25.0359993	26.67099953	25.43000031	23.56100082	21.38199997	19.02799988	16.04000092
Estonia																																1.527999997	3.459000111	6.633999825	7.926000118	8.861000061	9.234000206	9.538000107	8.503000259	10.13099957	11.60599995	13.2329998	8.68200016	10.38099957	8.826000214	6.902999878	5.585000038	3.756999969	5.131999969	10.29599953	14.09300041	11.57900047	9.097000122	8.154999733	6.808000088	6.133999825	6.065000057	5.302000046	5.138000011
Ethiopia																																4.809000015	4.811999798	4.90899992	4.847000122	6.550000191	8.329000473	9.916000366	11.5710001	13.36699963	12.5909996	11.70400047	10.77400017	9.913000107	9.234000206	8.335000038	8.208000183	8.095999718	7.974999905	7.850999832	7.749000072	7.653999805	7.524000168	7.225999832	7.217000008	7.203000069	7.373000145	7.544000149	7.703000069
European Union																																10.51156554	11.03782037	12.06193295	12.69305234	12.2799519	12.06443986	11.77940505	11.37569361	10.95821366	10.62701608	9.681344782	9.823055023	9.744884969	9.881325343	9.669131055	8.912504483	7.812167044	7.450609684	8.812069921	9.473655193	9.68884913	10.46882928	10.85027422	10.30502834	9.469195385	8.716620925	7.842198712	7.125431962
Fragile and conflict affected situations																																7.856120678	7.61338411	7.593260201	7.762183769	7.801850623	7.91056152	7.959350333	7.944988313	7.979719492	8.247899029	8.556779342	8.707555585	8.730852491	8.902533095	9.043793114	9.039522658	9.104587507	9.061501605	8.930177057	9.112044811	9.006321107	8.94605614	8.983405291	9.01053447	9.099596698	9.077681211	9.095302709	9.06330754
Finland																																5.026000023	9.642000198	14.41699982	14.8739996	16.14900017	15.5539999	15.18099976	13.57800007	12.44299984	11.98999977	10.76099968	10.16499996	9.937000275	10.57400036	8.607999802	8.083000183	7.18599987	6.69299984	7.570000172	7.637000084	7.097000122	7.051000118	7.515999794	7.946000099	8.842000008	8.581000328	8.390999794	8.001999855
Fiji																																8.26099968	7.427999973	8.157999992	7.889999866	7.46999979	7.815999985	8.342000008	9.055999756	9.864999771	10.34000015	10.9829998	11.55799961	11.44299984	6.552999973	6.448999882	9.263999939	11.98099995	12.46000004	12.11400032	12.33699989	12.44099998	12.36699963	10.37699986	8.51099968	8.385000229	8.56099987	8.652999878	8.550999641
France																																11.67000008	12.90299988	13.45300007	14.52400017	14.10599995	14.53600025	14.46700001	14.15100002	13.93999958	12.23900032	10.54500008	9.817000389	9.147999763	9.890000343	9.279999733	9.125	8.100999832	7.446000099	8.803999901	9.072999954	9.125	9.357000351	9.786999702	10.02900028	9.871999741	9.847999573	9.342000008	8.753000259
Faroe Islands																																																											
"Micronesia, Fed. Sts."																																																											
Gabon																																15.94999981	15.77000046	16.0170002	16.67900085	17.37400055	17.96299934	18.66799927	19.18600082	19.50900078	20.16300011	20.92099953	21.40299988	22.04000092	22.56800079	23.00699997	24.05599976	25.65399933	26.46699905	27.35899925	29.10899925	29.07900047	28.9489994	28.90099907	28.79500008	28.70899963	28.60899925	28.18000031	27.81900024
United Kingdom																																7.400000095	7.43200016	7.756000042	7.402999878	6.921000004	6.335000038	5.809999943	5.356999874	5.145999908	4.859000206	4.113999844	4.359000206	4.061999798	4.184000015	4.287000179	4.947000027	4.953999996	5.09100008	6.421999931	6.879000187	7.337999821	7.387000084	7.039999962	5.820000172	5.123000145	4.676000118	4.210999966	3.881999969
Georgia																																8.607000351	8.06499958	8.364999771	9.022000313	12.68200016	13.95199966	13.95600033	13.74800014	12.13500023	10.49800014	10.64099979	10.99199963	11.54199982	11.76399994	12.67199993	11.67099953	12.56200027	16.1079998	15.38700008	14.45400047	13.125	13.78800011	12.29899979	10.42599964	10.22599983	8.843000412	9.039999962	9.272999763
Ghana																																5.18900013	5.160999775	5.828000069	6.487999916	7.147999763	7.809000015	8.463000298	8.973999977	11.04500008	10.64999962	9.529000282	8.406000137	7.284999847	6.157999992	5.027999878	3.910000086	4.368000031	4.861000061	5.290999889	5.705999851	4.798999786	3.900000095	2.358999968	2.342000008	2.332000017	2.444999933	2.549999952	2.63499999
Gibraltar																																																											
Guinea																																3.440000057	3.450000048	3.461999893	3.460000038	3.463999987	3.467999935	3.476000071	3.470999956	3.473999977	3.467999935	3.476999998	3.486000061	3.493999958	3.493000031	3.492000103	3.493000031	3.483999968	3.487999916	3.493000031	3.483999968	3.479000092	3.476000071	3.476999998	3.473999977	3.470999956	3.467000008	3.448999882	3.433000088
"Gambia, The"																																12.81700039	12.89500046	12.90600014	12.80799961	12.87199974	12.88500023	12.88899994	13	13.01500034	13.0010004	12.98200035	12.84700012	12.94499969	12.91699982	12.77299976	12.76799965	12.77900028	12.7869997	12.78199959	12.76599979	12.63300037	12.72299957	12.70899963	12.68299961	12.67800045	12.67700005	12.69999981	12.70600033
